rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
30299,19514,976416,-89,100,run03,20
30347,19515,976466,-90,100,run03,20
30397,19516,976516,-89,100,run03,20
30446,19517,976566,-90,100,run03,20
30502,19518,976616,-91,100,run03,20
30546,19519,976666,-86,100,run03,20
30603,19520,976716,-87,100,run03,20
30647,19521,976766,-89,100,run03,20
30696,19522,976816,-89,100,run03,20
30746,19523,976866,-90,100,run03,20
30796,19524,976916,-91,100,run03,20
30846,19525,976966,-88,100,run03,20
30898,19526,977016,-88,100,run03,20
30946,19527,977066,-89,100,run03,20
30996,19528,977116,-91,100,run03,20
31046,19529,977166,-88,100,run03,20
31100,19530,977216,-88,100,run03,20
31148,19531,977266,-89,100,run03,20
31199,19532,977316,-89,100,run03,20
31246,19533,977366,-87,100,run03,20
31301,19534,977416,-85,100,run03,20
31346,19535,977466,-90,100,run03,20
31397,19536,977516,-87,100,run03,20
31446,19537,977566,-90,100,run03,20
31499,19538,977616,-89,100,run03,20
31547,19539,977666,-91,100,run03,20
31596,19540,977716,-89,100,run03,20
31648,19541,977766,-91,100,run03,20
31696,19542,977816,-92,100,run03,20
31746,19543,977866,-89,100,run03,20
31796,19544,977916,-87,100,run03,20
31847,19545,977966,-90,100,run03,20
31896,19546,978016,-89,100,run03,20
31947,19547,978066,-90,100,run03,20
31997,19548,978116,-89,100,run03,20
32056,19549,978166,-88,100,run03,20
32096,19550,978216,-90,100,run03,20
32148,19551,978266,-88,100,run03,20
32196,19552,978316,-92,100,run03,20
32250,19553,978366,-89,100,run03,20
32296,19554,978416,-88,100,run03,20
32351,19555,978466,-89,100,run03,20
32396,19556,978516,-92,100,run03,20
32447,19557,978566,-89,100,run03,20
32496,19558,978616,-93,100,run03,20
32548,19559,978666,-90,100,run03,20
32599,19560,978716,-91,100,run03,20
32647,19561,978766,-90,100,run03,20
32696,19562,978816,-92,100,run03,20
32748,19563,978866,-91,100,run03,20
32796,19564,978916,-90,100,run03,20
32846,19565,978966,-89,100,run03,20
32896,19566,979016,-91,100,run03,20
32946,19567,979066,-89,100,run03,20
32996,19568,979116,-89,100,run03,20
33050,19569,979166,-90,100,run03,20
33096,19570,979216,-88,100,run03,20
33146,19571,979266,-91,100,run03,20
33197,19572,979316,-91,100,run03,20
33256,19573,979366,-89,100,run03,20
33296,19574,979416,-90,100,run03,20
33349,19575,979466,-90,100,run03,20
33397,19576,979516,-89,100,run03,20
33446,19577,979566,-90,100,run03,20
33496,19578,979616,-89,100,run03,20
33558,19579,979666,-89,100,run03,20
33596,19580,979716,-90,100,run03,20
33658,19581,979766,-91,100,run03,20
33696,19582,979816,-91,100,run03,20
33747,19583,979866,-90,100,run03,20
33799,19584,979916,-90,100,run03,20
33847,19585,979966,-90,100,run03,20
33897,19586,980016,-91,100,run03,20
33948,19587,980066,-87,100,run03,20
34009,19588,980116,-91,100,run03,20
34048,19589,980166,-91,100,run03,20
34098,19590,980216,-91,100,run03,20
34146,19591,980266,-88,100,run03,20
34205,19592,980316,-90,100,run03,20
34248,19593,980366,-93,100,run03,20
34298,19594,980416,-90,100,run03,20
34347,19595,980466,-89,100,run03,20
34402,19596,980516,-90,100,run03,20
34464,19597,980566,-91,100,run03,20
34498,19598,980616,-90,100,run03,20
34548,19599,980666,-89,100,run03,20
34602,19600,980716,-90,100,run03,20
34647,19601,980766,-88,100,run03,20
34703,19602,980816,-90,100,run03,20
34748,19603,980866,-90,100,run03,20
34800,19604,980916,-90,100,run03,20
34850,19605,980966,-92,100,run03,20
34897,19606,981016,-91,100,run03,20
34947,19607,981066,-91,100,run03,20
35014,19608,981116,-90,100,run03,20
35047,19609,981166,-90,100,run03,20
35097,19610,981216,-90,100,run03,20
35147,19611,981266,-91,100,run03,20
35200,19612,981316,-90,100,run03,20
35247,19613,981366,-89,100,run03,20
35301,19614,981416,-90,100,run03,20
35355,19615,981466,-90,100,run03,20
35397,19616,981516,-91,100,run03,20
35447,19617,981566,-91,100,run03,20
35499,19618,981616,-90,100,run03,20
35547,19619,981666,-89,100,run03,20
35597,19620,981716,-91,100,run03,20
35647,19621,981766,-88,100,run03,20
35697,19622,981816,-89,100,run03,20
35747,19623,981866,-90,100,run03,20
35797,19624,981916,-89,100,run03,20
35848,19625,981966,-89,100,run03,20
35898,19626,982016,-86,100,run03,20
35947,19627,982066,-90,100,run03,20
35997,19628,982116,-89,100,run03,20
36047,19629,982166,-87,100,run03,20
36097,19630,982216,-90,100,run03,20
36147,19631,982266,-91,100,run03,20
36197,19632,982316,-88,100,run03,20
36247,19633,982366,-89,100,run03,20
36297,19634,982416,-89,100,run03,20
36347,19635,982466,-88,100,run03,20
36406,19636,982516,-88,100,run03,20
36448,19637,982566,-91,100,run03,20
36508,19638,982616,-90,100,run03,20
36554,19639,982666,-90,100,run03,20
36600,19640,982716,-91,100,run03,20
36647,19641,982766,-90,100,run03,20
36697,19642,982816,-90,100,run03,20
36747,19643,982866,-90,100,run03,20
36797,19644,982916,-91,100,run03,20
36848,19645,982966,-90,100,run03,20
36905,19646,983016,-90,100,run03,20
36954,19647,983066,-88,100,run03,20
36997,19648,983116,-89,100,run03,20
37048,19649,983166,-88,100,run03,20
37097,19650,983216,-89,100,run03,20
