round,train_rmse,train_mae,test_rmse,test_mae
110,5.564540169935308,3.375819401814625,11.996437605461164,7.557369037384365
111,5.552262157747963,3.3697267256278534,12.024381943193125,7.567464795704076
112,5.5443184999243265,3.365230865003312,12.055009620008256,7.574194656290582
113,5.540456034897181,3.362646487312569,12.05497710940803,7.574852567094841
114,5.5341252328742145,3.3586457732121997,12.090594377146726,7.586170361045865
115,5.523380866253697,3.3532040028044108,12.107351125420307,7.596117846058336
116,5.512863583436112,3.347606664073772,12.09937379617743,7.590011639399021
117,5.5061591274806885,3.3436976997067296,12.093321524062034,7.585203825923948
118,5.4994740542309595,3.3412938602672617,12.1202156182964,7.5944893026312235
119,5.493083030395196,3.337469393047075,12.145222877118915,7.612657755748509
120,5.486342219721107,3.3341537100204697,12.182347068370575,7.621511059496717
121,5.476585328894333,3.3294863005924533,12.18386724655204,7.622789547288036
122,5.470170980272322,3.3266361555329054,12.202431302863337,7.625429944469545
123,5.465445575633632,3.3232390549201716,12.214811005812551,7.630128566517788
124,5.457784913704579,3.3195361703159323,12.239617862106533,7.638546167767245
125,5.449726969210017,3.3148138851414446,12.224694023943604,7.6253063490683
126,5.440946598470996,3.3080815162345183,12.165065970450359,7.5794683962283
127,5.436023068061835,3.3057665046380746,12.17866968810172,7.589680913098149
128,5.432519893157298,3.3034798968491383,12.148562241565315,7.569076079162903
129,5.42423613564709,3.2979157440352207,12.196387864810465,7.6027152876447905
130,5.420305226488075,3.2949578534566997,12.195350951443402,7.6007653207290256
131,5.415893439623635,3.292434588351474,12.195602600459727,7.601040573208593
132,5.41033699260806,3.289015072583382,12.238065912206093,7.619414149786732
133,5.398843488158889,3.283804533059229,12.259068447717564,7.629822250562173
134,5.384622346241534,3.277529779912781,12.254066587135437,7.6197307664046035
135,5.379883193147875,3.275250508754146,12.249221517082436,7.618925375131066
136,5.375439258752568,3.2719773372309615,12.277358047640032,7.634295444020459
137,5.36739836288823,3.267938404593536,12.279051131283241,7.633122222786871
138,5.360000502238332,3.2632494438144466,12.271904082137253,7.6261836862672805
139,5.354099581669783,3.259224623276113,12.297227203442825,7.63664565938369
140,5.344858505273262,3.253344683519726,12.285785887454622,7.623333049841865
141,5.338958874339788,3.2503947089442495,12.293882277912742,7.626831984050098
142,5.331860230481143,3.2455037474279016,12.31046037822431,7.634700382283261
143,5.321469619655484,3.239764954138353,12.309674199106428,7.633726476590516
144,5.311582590548427,3.2355827159675488,12.32267249784159,7.63610551180318
145,5.30504013270327,3.2321463536908306,12.353312607648432,7.652590404661586
146,5.299269181945871,3.228282526059055,12.353788814287224,7.651030035786168
147,5.294021035143827,3.2253400820046094,12.362768062036618,7.655901976845474
148,5.287521855304426,3.219871804341398,12.348559610598416,7.646121960189295
149,5.280428902534892,3.2164356150493165,12.350529627577565,7.651926030601436
